"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue"
"4uic88981gw780w","MGI:2147679","Patl1","C57BL","Early adult","IMPC_HEM_027_001","Red blood cell distribution width",0.2381183
"4up08450gz3r53u","MGI:2148802","Sec16b","C57BL","Early adult","IMPC_HEM_032_001","Lymphocyte cell count",0.7166948
"4up27m0493or3s9","MGI:1913521","Tmem126a","C57BL","Early adult","IMPC_EYE_083_001","Vitreous",0.05416692
"4uq99gssh0o9r6u","MGI:1859214","Pmm2","C57BL","E9.5","IMPC_DXA_010_001","Bone Area",0.2497188
"4us142rln6ew2rl","MGI:2147679","Patl1","C57BL","Early adult","IMPC_GEO_063_001","Craniofacial morphology",0.3037671
"4v071za2299nc4h","MGI:2159324","Cln6","C57BL","Early adult","HRWL_OWT_001_001","Spleen weight",0.3890515
"4v1075766v19m68","MGI:1341881","Syngr3","C57BL","Early adult","IMPC_CBC_018_001","Glucose",0.2774661
"4v19834a1n8e52v","MGI:2147679","Patl1","C57BL","E18.5","IMPC_DXA_009_001","Fat/Body weight",0.6489023
"4v198gx3di6yrf2","MGI:1341881","Syngr3","C57BL","Late adult","IMPC_OFD_010_001","Periphery distance travelled",0.1479539
"4v21nz4464e9n0j","MGI:1914961","Nsmce1","C57BL","Early adult","IMPC_ABR_008_001","18kHz-evoked ABR Threshold",0.5171092
"4v25ik234f4w936","MGI:1341881","Syngr3","C57BL","Early adult","JAX_OFD_016_001","Center permanence time",0.8543399
"4v3q972nl0oo03r","MGI:2147134","Fbxo11","C57BL","E15.5","IMPC_CSD_079_001","Aggression",0.2645568
"4v3wem70xe753x3","MGI:2443664","Rreb1","C57BL","Early adult","IMPC_CBC_003_001","Chloride",0.5401047
"4v43k08u3yt3n94","MGI:1915814","Nufip2","C57BL","E18.5","IMPC_EYE_069_001","Left inner nuclear layer",0.7752893
"4v467m11cxyjq87","MGI:1923356","Kdm3b","C57BL","Early adult","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",0.763888
"4v4t6p95627rlw4","MGI:96193","Hoxc11","C57BL","Early adult","IMPC_CBC_021_001","Lipase",0.1244984
"4v55ouy4k110jx9","MGI:1919618","Borcs8","C57BL","E18.5","M-G-P_005_001_006","Body Length",0.3809994
"4v56nf7uw0va909","MGI:1918529","Slc29a3","C57BL","Early adult","JAX_OFD_016_001","Center permanence time",0.2434359
"4v646095r32995m","MGI:1915956","Rgp1","C57BL","Early adult","IMPC_GEO_065_001","Limb morphology",0.1948573
"4v66n9yxk32h579","MGI:2685751","Tmem171","C57BL","Early adult","ESLIM_011_001_705","Global prepulse inhibition",0.9822508
"4v6l98axm3262zz","MGI:1916625","Btbd9","C57BL","Early adult","IMPC_EYE_023_001","Optic Disc",0.2867011
"4v8y3e8ta8tp352","MGI:2682952","Prdm10","C57BL","Early adult","IMPC_ECH_004_001","Ejection Fraction",0.5804429
"4vaxcumk621iutp","MGI:2441671","Hcar1","C57BL","Early adult","IMPC_GEO_047_002","Microphthalmia",0.788099
"4vf454434d5d8s2","MGI:2147679","Patl1","C57BL","Early adult","IMPC_CSD_002_001","Tail - length",0.16244
"4vgl94q4ix8ao99","MGI:2147134","Fbxo11","C57BL","E15.5","IMPC_EYE_024_001","Retinal Blood Vessels",0.9872887
"4vhv802k6p26y98","MGI:1915814","Nufip2","C57BL","E18.5","ESLIM_021_001_004","Free fatty acids",0.05261099
"4vit805a401bf5j","MGI:109339","Eya3","C57BL","Early adult","IMPC_CSD_078_001","Vocalization",0.2113922
"4vj192600k2o5cx","MGI:105089","Hsd17b4","C57BL","Early adult","IMPC_CBC_009_001","Calcium",0.939112
"4vln6cg6ate71a9","MGI:97312","Nfkb1","129SV","Early adult","JAX_LDT_002_001","Light side time spent",0.6951876
"4vn4h4jdy00g1al","MGI:1915087","Tiprl","C57BL","E9.5","IMPC_GEO_011_001","Blood Vessel Morphology",0.4921384
"4vox936my8vc4p5","MGI:1353657","Fgd3","C57BL","Early adult","IMPC_CBC_020_001","Fructosamine",0.3190591
"4vqytlyvigllfk8","MGI:2136381","Hadhb","C57BL","Early adult","M-G-P_009_001_003","Body weight",0.8157151
"4vu2ay6a43g3b7u","MGI:2385295","Sez6l2","C57BL","Early adult","IMPC_CBC_009_001","Calcium",0.9515591
"4vu3j2rb4aea06u","MGI:2147134","Fbxo11","C57BL","E15.5","IMPC_HEM_033_001","Monocyte differential count",0.9443546
"4vx01w0yj0670vc","MGI:107794","Zfp69","C57BL","Early adult","IMPC_CSD_079_001","Aggression",0.2090375
"4vx84cld97j14i1","MGI:1341881","Syngr3","C57BL","Late adult","IMPC_FEA_003_001","Conditioning Baseline % Freezing Time",0.05784894
"4vz79s01o71u458","MGI:1921501","Ankrd9","C57BL","Early adult","IMPC_CSD_032_001","Locomotor activity",0.5115657
"4w1276we2s6p714","MGI:1101778","Bmx","C57BL","Early adult","JAX_OFD_013_001","Periphery average speed",0.5557097
"4w1v9579k2d5lvs","MGI:96193","Hoxc11","C57BL","Early adult","M-G-P_025_001_023","HDL-cholesterol",0.1841813
"4w2dr7kpoq08tn8","MGI:1921501","Ankrd9","C57BL","Early adult","impc_hem_005_001","Mean cell volume",0.9316998
"4w2nse172zn6jnu","MGI:1933155","Arl4d","129SV","Early adult","ESLIM_011_001_010","PP4 + pulse startle magnitude",0.5167781
"4w5k933y7qmm50t","MGI:1919618","Borcs8","C57BL","E18.5","MGP_CSD_023_001","Dorsal coat/hair appearance",0.9727987
"4w6yy459941e60d","MGI:2136381","Hadhb","C57BL","E18.5","IMPC_EYE_017_001","Lens Opacity",0.272976
"4w82grblq0jg4h3","MGI:1915087","Tiprl","C57BL","E9.5","IMPC_OFD_019_001","Number of center entries",0.4885305
"4w8k93n1833191p","MGI:1915814","Nufip2","C57BL","E18.5","MGP_IMM_070_001","Total ab T cells - % of CD45+",0.7771751
"4wf52dw2e4620c1","MGI:1919762","Sting1","C57BL","Early adult","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0.9138084
"4wf7b85f9j8yam1","MGI:107247","Adam7","C57BL","Early adult","IMPC_DXA_004_001","Bone Mineral Density (excluding skull)",0.3996918
"4wh46m90h99fu23","MGI:105095","Pgf","C57BL","Early adult","IMPC_CSD_012_001","Coat - hair distribution - head",0.05859309
"4wj112k2r5xlc20","MGI:96546","Il1r2","C57BL","Early adult","IMPC_EYE_010_001","Iris/Pupil",0.1506081
"4wje49p9nc36v52","MGI:1859638","Pqbp1","C57BL","E9.5","IMPC_EYE_017_001","Lens Opacity",0.7480421
"4wl4o0s4wj3g10f","MGI:2675296","Crebzf","C57BL","Early adult","IMPC_CSD_051_001","Hindlimb nail - number",0.8591291
"4wl5pjeo1i146p7","MGI:97312","Nfkb1","C57BL","Early adult","IMPC_HEM_002_001","Red blood cell count",0.564005
"4wn5g148p8f1p8j","MGI:1859638","Pqbp1","C57BL","E15.5","IMPC_CSD_032_001","Locomotor activity",0.1308032
"4wn8mw7n7pkgj9m","MGI:1341881","Syngr3","C57BL","Late adult","M-G-P_005_001_006","Body Length",0.3948044
"4wui7s06v593o3e","MGI:105089","Hsd17b4","C57BL","E18.5","IMPC_CBC_023_001","Alpha-amylase",0.1280454
"4x14v7mx4a62vvv","MGI:1921501","Ankrd9","C57BL","Early adult","IMPC_CSD_002_001","Tail - length",0.898298
"4x20740jxtq61ml","MGI:2685084","C2cd4c","C57BL","Early adult","ESLIM_005_001_702","Lean/Body weight",0.1459339
"4x2up320029b7e9","MGI:1341881","Syngr3","C57BL","Early adult","ESLIM_016_001_008","Platelets count",0.3257861
"4x3680pfns0ge6i","MGI:1859607","Praf2","C57BL","Early adult","IMPC_CBC_007_001","Albumin",0.09860166
"4x3774740pfv17r","MGI:1914162","Bzw2","C57BL","Early adult","BCMLA_EYE_067_001","Left anterior chamber depth",0.7706365
"4x3p60l94i1c0yu","MGI:2685084","C2cd4c","C57BL","Early adult","IMPC_GEO_011_001","Blood Vessel Morphology",0.6972009
"4x42edaucngq3n7","MGI:1194883","Crx","C57BL","Early adult","IMPC_EYE_092_001","Retina (combined)",0.09828738
"4x4974c1myx61nf","MGI:1918529","Slc29a3","C57BL","Early adult","IMPC_CSD_014_001","Coat - hair texture / appearance - back",0.3841943
"4x560xnf4vm59qu","MGI:2684931","Tbc1d31","C57BL","Early adult","ESLIM_013_001_005","Left retina structure",0.7247821
"4x57t9b42ieo27e","MGI:2138334","Dgkd","C57BL","Early adult","IMPC_CBC_016_001","HDL-cholesterol",0.6652955
"4x58t2zdn3d63r8","MGI:1919618","Borcs8","C57BL","E12.5","IMPC_EYE_024_001","Retinal Blood Vessels",0.4343992
"4x7dg3ooa4jg84n","MGI:2147679","Patl1","C57BL","Early adult","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",8.405579e-05
"4x7pi2s2z57759c","MGI:109339","Eya3","C57BL","Early adult","IMPC_GEO_062_001","Abdominal wall",0.1687756
"4x8jg3rrp4012km","MGI:1919618","Borcs8","C57BL","E12.5","IMPC_EYE_067_001","Left anterior chamber depth",0.5786135
"4x8ut90x30c49e0","MGI:1919618","Borcs8","C57BL","E12.5","BCMLA_EYE_067_001","Left anterior chamber depth",0.708767
"4x9b2ro7rn8854m","MGI:2675296","Crebzf","C57BL","Early adult","JAX_OFD_016_001","Center permanence time",0.9099757
"4x9cb1l6n4swtq9","MGI:1917345","Zfp512","C57BL","Early adult","JAX_LDT_004_001","Dark side time spent",0.1326216
"4x9gxp716879o4k","MGI:2154240","Plxnb3","C57BL","Early adult","IMPC_EYE_026_001","Retinal Blood Vessels Pattern",0.4132906
"4xchqxb659964nd","MGI:1921783","Gzf1","C57BL","Early adult","IMPC_EYE_092_001","Retina (combined)",0.2245685
"4xde12la346ad06","MGI:105095","Pgf","C57BL","Early adult","ESLIM_011_001_002","PP1 startle magnitude",0.8764851
"4xe3ay74fx08lyl","MGI:1915956","Rgp1","C57BL","E12.5","IMPC_OFD_020_001","Distance travelled - total",0.6045323
"4xefp78t1857925","MGI:1921501","Ankrd9","C57BL","Early adult","IMPC_HEM_003_001","Hemoglobin",0.511517
"4xf58eg989iex1i","MGI:2147679","Patl1","C57BL","Early adult","IMPC_GEL_060_001","Neural tube morphology",0.8653896
"4xh6kh2ouacgh93","MGI:2679719","Armc7","C57BL","Early adult","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.4799811
"4xk3v267hbe0l01","MGI:99953","Gja8","C57BL","Early adult","IMPC_CBC_012_001","Aspartate aminotransferase",0.3153948
"4xms46112e7ya2j","mgi:2443664","Rreb1","C57BL","Early adult","IMPC_CBC_016_001","HDL-cholesterol",0.1897122
"4xn26d133hrhg05","MGI:1915956","Rgp1","C57BL","E9.5","HRWL_OWT_001_001","Spleen weight",0.4473468
"4xo49r8533o4vrk","MGI:1931028","Recql4","C57BL","E12.5","ESLIM_011_001_010","PP4 + pulse startle magnitude",0.6788755
"4xol4257owdhg90","MGI:2443235","Rimbp2","C57BL","Early adult","IMPC_HEM_007_001","Mean cell hemoglobin concentration",0.7582824
"4xpww5z8e7r8ujh","MGI:1918529","Slc29a3","C57BL","Early adult","IMPC_HEM_003_001","Hemoglobin",0
"4xsnighrzj42bjq","MGI:2684940","Gm94","C57BL","Early adult","ESLIM_011_001_007","PP1 + pulse startle magnitude",0.7609715
"4xufc021wis5a3a","MGI:102657","Cdc34","C57BL","E18.5","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",0.5458525
"4xzw40mlnspj11f","MGI:2182543","Grhl2","C57BL","Early adult","IMPC_GEP_005_002","Responsive to tactile stimuli",0.9796371
"4y0249x3n3i14h2","MGI:2387464","Pank3","C57BL","Early adult","CCP_LDT_005_001","Time mobile dark side",0.247583
"4y063s52762jg4j","MGI:2142651","Prmt9","C57BL","Early adult","IMPC_EYE_069_001","Left inner nuclear layer",0.7761471
"4y1lr26mc9n98r2","MGI:1915814","Nufip2","C57BL","Early adult","IMPC_DXA_010_001","Bone Area",0.5184463
"4y28y8gczn56sp3","MGI:1918529","Slc29a3","C57BL","Early adult","M-G-P_006_001_017","Shape of ribs",0.530903
"4y3m494up109k52","MGI:1921783","Gzf1","C57BL","Early adult","IMPC_HEM_008_001","Platelet count",0.8161449
"4y6221q5085fbcy","MGI:2147134","Fbxo11","C57BL","E15.5","IMPC_CSD_030_001","Tremor",0.447255
"4y7154vxxud5x70","MGI:1925212","Scaf8","C57BL","E18.5","IMPC_ECH_005_001","Fractional Shortening",0.06164742
"4y7882eci33g751","MGI:1916690","Dennd6b","C57BL","Early adult","M-G-P_016_001_006","Mean-corpuscular-haemoglobin",0.4019412
"4y78a2fd7jhc5c5","MGI:2159324","Cln6","C57BL","Early adult","impc_eye_026_001","Retinal Blood Vessels Pattern",0.06834662
"4y812t7w47565sl","MGI:1859638","Pqbp1","C57BL","E15.5","IMPC_ECG_002_001","HR",0.1187176
"4y93k8g46hmh9kw","MGI:1925212","Scaf8","C57BL","Early adult","IMPC_GEL_060_001","Neural tube morphology",0.3168483
"4y95i97u6f94k5k","MGI:1915087","Tiprl","C57BL","Early adult","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.1175323
"4y97lp34u3fr31d","MGI:1347249","Psg16","C57BL","early adult","IMPC_GEL_061_001","Optic vesicle morphology",0.7877033
"4ye74215kkhg298","MGI:1298378","Dhcr7","C57BL","Early adult","IMPC_GEO_063_001","Craniofacial morphology",0.6827061
"4ygt4rcg880b6kl","MGI:1891427","Fgf23","C57BL","Early adult","IMPC_EYE_003_001","Eye Hemorrhage or Blood Presence",0.8833107
"4yi77cz46fblzv5","MGI:1861457","Dynll1","C57BL","Early adult","IMPC_OFD_007_001","Whole arena resting time",0.256222
"4yl18r6cnkp95w9","MGI:1915087","Tiprl","C57BL","E12.5","IMPC_EYE_003_001","Eye Hemorrhage or Blood Presence",0.4633808
"4ynr77271b85807","MGI:2147679","Patl1","C57BL","E18.5","IMPC_OFD_017_001","Center average speed",0.05070995
"4yon37pu394524n","MGI:1858419","Bysl","C57BL","Early adult","IMPC_EYE_027_001","Persistence of hyaloid vascular system",0.3651569
"4yt819d9zv32h54","MGI:1918529","Slc29a3","C57BL","Early adult","IMPC_OFD_019_001","Number of center entries",0.3839275
"4ywum884cwu606i","MGI:2182543","Grhl2","C57BL","Early adult","IMPC_OFD_011_001","Periphery resting time",0.6446449
"4yxq6ua37m102h1","MGI:2147679","Patl1","C57BL","E18.5","IMPC_OFD_013_001","Periphery average speed",0.3550803
"4z0w487vv43b5ch","MGI:2154240","Plxnb3","C57BL","Early adult","UCD_OWT_008_001","Liver weight",0.1040865
"4z10661r56er348","MGI:96194","Hoxc12","C57BL","Early adult","IMPC_CBC_014_001","Alkaline phosphatase",0.09179271
"4z1kcl3f05ttpj0","MGI:2442233","Arhgef9","C57BL","Early adult","JAX_OFD_022_001","Percentage center time",0.5169183
"4z2z887m5396386","MGI:1914162","Bzw2","C57BL","Early adult","ESLIM_005_001_702","Lean/Body weight",0.812041
"4z384c00rk8p5y9","MGI:1859638","Pqbp1","C57BL","E15.5","IMPC_EYE_024_001","Retinal Blood Vessels",0.4091087
"4z3f5v985x5trv3","MGI:1915956","Rgp1","C57BL","E12.5","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.197352
"4z414716562604l","MGI:103556","Cxcl12","C57BL","E9.5","IMPC_CBC_003_001","Chloride",0.7301642
"4z4y2mv60496726","MGI:1923356","Kdm3b","C57BL","Early adult","IMPC_GEL_028_001","Forebrain",0.1396908
"4z61o0259122z3c","MGI:107566","Kifap3","C57BL","Early adult","UCD_OWT_008_001","Liver weight",0.4190381
"4z68skde361e300","MGI:1859638","Pqbp1","C57BL","E9.5","IMPC_CBC_021_001","Lipase",0.5324668
"4z6na40xybc7178","MGI:2685084","C2cd4c","C57BL","Early adult","M-G-P_007_001_007","Periphery - resting time",0.2257255
"4z8m4j3yoinwu27","MGI:105089","Hsd17b4","C57BL","Middle aged adult","JAX_OFD_016_001","Center permanence time",0.6477972
"4z8v476z0xs8wmq","MGI:1914162","Bzw2","C57BL","Early adult","IMPC_ABR_008_001","18kHz-evoked ABR Threshold",0.3467366
"4z8w6642742b702","MGI:1341881","Syngr3","C57BL","Late adult","IMPC_GEP_022_001","Embryo Size",0.5789873
"4z988kj942n5d00","MGI:2159324","Cln6","C57BL","Early adult","CCP_XRY_060_001","Transitional vertebrae",0.463919
"4z9946ikldejwll","MGI:2388267","Bicdl2","C57BL","Early adult","JAX_OFD_021_001","Number of rears - total",0.08287945
"4za5b5tkrapdtv5","MGI:1914961","Nsmce1","C50BL","early adult","IMPC_CBC_014_001","Alkaline phosphatase",0.2643587
"4zb7zgq7so9zn23","MGI:2444418","Scara3","C57BL","Early adult","MGP_IMM_071_001","Total CD4+ T cells - % of CD45+",0.4503228
"4zex27ge2wbsmq8","MGI:107566","Kifap3","C57BL","Early adult","M-G-P_026_001_006","Skin condition",0.5325639
"4zf0i90jgb0ejq5","MGI:102657","Cdc34","C57BL","E18.5","ESLIM_011_001_705","Global prepulse inhibition",0.5069883
"4zf7q0jh73np1pw","MGI:1859607","Praf2","C57BL","Early adult","M-G-P_026_001_012","Incisor",0.4144939
"4zi08450hi167g5","MGI:95514","Fes","C57BL","Early adult","M-G-P_026_001_012","Incisor",0.3605635
"4zj2212tvji162v","MGI:2684940","Gm94","C57BL","Early adult","IMPC_CBC_013_001","Alanine aminotransferase",0.5849812
"4zkksy923p35er1","MGI:2387464","Pank3","C57BL","Early adult","IMPC_GEO_062_001","Abdominal wall",0.8941574
"4zli0wjm4f98389","MGI:1929492","Atl2","C57BL","Early adult","CCP_LDT_006_001","Latency to first transition into light",0.8637993
"4zol68uv1832e17","MGI:2448562","Adnp2","C57BL","Early adult","M-G-P_004_001_001","Body Weight",0.4673056
"4zqgj99e0665542","MGI:1929492","Atl2","C57BL","Early adult","IMPC_HEM_007_001","Mean cell hemoglobin concentration",0.8568578
"4zr6muf1q447601","MGI:2136381","Hadhb","C57BL","Early adult","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.537067
"4zu19ks3gq8pr0a","MGI:1925212","Scaf8","C57BL","E9.5","JAX_OFD_013_001","Periphery average speed",0.4900637
"4zwj98b0h7u7d00","MGI:96412","Ide","C57BL","Early adult","IMPC_GEO_062_001","Abdominal wall",0.7369951
"50025zt9e9h44e2","MGI:102657","Cdc34","C57BL","Early adult","ESLIM_011_001_010","PP4 + pulse startle magnitude",0.7674691
"500j36dd771hqc8","MGI:1921783","Gzf1","C57BL","Early adult","IMPC_OFD_017_001","Center average speed",0.4408008
"500jkm36p92jl6n","MGI:1352752","Pde7b","C57BL","Early adult","IMPC_EYE_083_001","Vitreous",0.6795835
"500ykh2x2gw6x62","MGI:1341881","Syngr3","C57BL","Middle aged adult","BCMLA_EYE_068_001","Left total retinal thickness",0.1908602
"50145u7hh79n8qj","MGI:1861457","Dynll1","C57BL","Early adult","IMPC_CBC_016_001","HDL-cholesterol",0.08211171
"501490u891n7n3s","MGI:103227","Cmah","C57BL","Early adult","JAX_OFD_016_001","Center permanence time",0.2742305
"5017i49m0q06yve","MGI:2444418","Scara3","C57BL","Early adult","IMPC_IPG_010_001","Fasted blood glucose concentration",0.8709358
"501p09y1498lm51","MGI:97312","Nfkb1","129SV","Early adult","IMPC_HEM_005_001","Mean cell volume",0.7173826
"501r6kz6ngycsi5","MGI:2136381","Hadhb","C57BL","E18.5","M-G-P_005_001_001","Weight",0.4167761
"50222sr71n44o15","MGI:1915087","Tiprl","C57BL","E9.5","IMPC_IMM_057_001","NK Subsets (Q4)",0.2935977
"5022ff5401j0m4a","MGI:1925212","Scaf8","C57BL","E9.5","IMPC_CBC_016_001","HDL-cholesterol",0.7792508
"5024033r8jr0v97","MGI:2444418","Scara3","C57BL","Early adult","IMPC_OFD_011_001","Periphery resting time",0.6102517
"5027682t1210o28","MGI:2684931","Tbc1d31","C57BL","Early adult","IMPC_DXA_006_001","Body length",0.9095443
"502f7txkr8kwh88","MGI:1915956","Rgp1","C57BL","E12.5","IMPC_IPG_012_001","Area under glucose response curve",0.0587964
"502ny1r9p5cv3s1","MGI:107794","Zfp69","C57BL","Early adult","M-G-P_025_001_008","Albumin",0.4138598
"502rcaym3ldju40","MGI:96193","Hoxc11","C57BL","Early adult","IMPC_OFD_009_001","Whole arena average speed",0.1571313
"502tkm3b53p7023","MGI:1919762","Sting1","C57BL","Early adult","IMPC_CSD_027_001","Ears",0.4959807
"5030o09l37d7nf0","MGI:2147134","Fbxo11","C3H","Early adult","IMPC_HEM_008_001","Platelet count",0.6047692
"5036ak0qkcqm28s","MGI:1921783","Gzf1","C57BL","Early adult","IMPC_CSD_078_001","Vocalization",0.262634
"50408k5gj4ok12k","MGI:2182543","Grhl2","C57BL","E9.5","M-G-P_020_001_001","Body Weight",0.8135277
"5042yzhk89kg600","MGI:2675296","Crebzf","C57BL","Early adult","ESLIM_005_001_702","Lean/Body weight",0.4527893
"504620k184t0d50","MGI:1859214","Pmm2","C57BL","E12.5","JAX_OFD_016_001","Center permanence time",0.7058674
"504am86iu98bkk4","MGI:1924170","Arrdc5","C57BL","Early adult","ESLIM_008_001_001","Body position",0.8423487
"5055gsu91f240gn","MGI:105080","Tgoln1","C57BL","Early adult","IMPC_EYE_092_002","Retina (combined)",0.8889395
"5056foqmwm9i521","MGI:1921783","Gzf1","C57BL","Early adult","M-G-P_009_001_003","Body weight",0.7208875
"505dc6a29l53914","MGI:2147679","Patl1","C57BL","Early adult","IMPC_EYE_083_001","Vitreous",0.5544077
"505l1480z7p3770","MGI:1919762","Sting1","C57BL","Early adult","IMPC_CBC_023_001","Alpha-amylase",0.6604246
"505t4dp7e491wgc","MGI:1921501","Ankrd9","C57BL","Early adult","IMPC_CBC_007_001","Albumin",0.8826534
"505wq128055kk71","MGI:2442233","Arhgef9","C57BL","Early adult","IMPC_EYE_056_001","Mean left eye lens density",0.7943636
"5061y0u816p4i4s","MGI:2675296","Crebzf","C57BL","Early adult","IMPC_CBC_016_001","HDL-cholesterol",0.9545174
"5062mj494936163","MGI:1347249","Psg16","C57BL","Early adult","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.7646683
"5065e2svpqqn2d0","MGI:1859638","Pqbp1","C57BL","E15.5","GMC_916_001_008","Latency familiar object exploration",0.4055975
"5065hdbm38zww12","MGI:2444156","Rccd1","C57BL","Early adult","IMPC_GEL_028_001","Forebrain",0.1281289
"50693ujj35v3ix1","MGI:2685084","C2cd4c","C57BL","Early adult","IMPC_EYE_069_001","Left inner nuclear layer",0.4045029
"506ojy1k6t683cd","mgi:2679719","Armc7","C57BL","Early adult","IMPC_HEM_007_001","Mean cell hemoglobin concentration",0.2573933
"5076n048ffu6600","MGI:1341881","Syngr3","C57BL","Early adult","IMPC_EYE_026_001","Retinal Blood Vessels Pattern",0.6629375
"5078ix8o9ri0286","MGI:1915814","Nufip2","C57BL","Early adult","IMPC_HEM_032_001","Lymphocyte cell count",0.8785001
"50794z8c091u412","MGI:103556","Cxcl12","C57BL","E12.5","IMPC_EYE_017_001","Lens Opacity",0.1447953
"507c84k25fm78il","MGI:2443664","Rreb1","C57BL","Early adult","ESLIM_016_001_008","Platelets count",0.9388202
"507c8884f0f81a4","MGI:2685084","C2cd4c","C57BL","Early adult","ESLIM_008_001_001","Body position",0.08131365
"507fi4f6s29y224","MGI:109339","Eya3","C57BL","Early adult","IMPC_HEM_027_001","Red blood cell distribution width",0.8019334
"507n789o0651w07","MGI:1859638","Pqbp1","C57BL","E15.5","IMPC_FEA_003_001","Conditioning Baseline % Freezing Time",0.4650648
"507t3532ruj9382","MGI:1919618","Borcs8","C57BL","E12.5","IMPC_CBC_015_001","Total cholesterol",0.3742413
"5085m5nkkxh01px","MGI:2679719","Armc7","C57BL","Early adult","M-G-P_009_001_003","Body weight",0.8901438
"508g65ah199w262","MGI:96193","Hoxc11","C57BL","Early adult","IMPC_HWT_008_001","Heart weight",0.8431895
"508z8n9u02fpgmg","MGI:1921703","Cfap53","C57BL","Early adult","IMPC_GEO_067_001","Syndactyly",0.4967475
"50910x1d7459rci","MGI:2147679","Patl1","C57BL","E12.5","BCMLA_EYE_067_001","Left anterior chamber depth",0.6394013
"5095goi78244vtb","MGI:1915814","NUFIP2","C57BL","Early adult","IMPC_EYE_067_001","Left anterior chamber depth",0.9622666
"509eqqp9041st10","MGI:2684931","Tbc1d31","C57BL","Early adult","IMPC_CSD_051_001","Hindlimb nail - number",0.07647537
"50a57e3l4vb50zr","MGI:1919618","Borcs8","C57BL","E12.5","M-G-P_009_001_003","Body weight",0.2126137
"50atsf7u21ty3ql","MGI:1918529","Slc29a3","C57BL","Early adult","IMPC_OFD_014_001","Center distance travelled",0.5406578
"50b1v6ty07g2t9v","MGI:98495","Tbx3","C57BL","E9.5","IMPC_ACS_035_001","% Pre-pulse inhibition - PPI3",0.7813837
"50cu7okqjyvv24p","MGI:2387464","Pank3","C57BL","Early adult","IMPC_CBC_021_001","Lipase",0.9088654
"50d73ohgy6ect41","MGI:1916690","Dennd6b","C57BL","Early adult","IMPC_GEO_062_001","Abdominal wall",0.5262936
"50d94z0158labfd","MGI:1859214","Pmm2","C57BL","E12.5","IMPC_GEP_030_002","Edema",0.4622124
"50gj0ypkos51j1x","MGI:96546","Il1r2","C57BL","Early adult","M-G-P_008_001_012","Tail elevation",0.5145831
"50gm07u00qu28cp","MGI:2684931","Tbc1d31","C57BL","Early adult","IMPC_EYE_059_001","Mean right eye lens density",0.06113307
"50h829u30i4ne9j","MGI:2182543","Grhl2","C57BL","E9.5","IMPC_CSD_024_001","Vibrissae - appearance",0.5466271
"50hblm0w0xfo77z","MGI:2685948","Irgc","C57BL","Early adult","IMPC_ECG_031_001","Abnormal ECG detected",0.1088048
"50i6bj10281d504","MGI:1915814","Nufip2","C57BL","E18.5","IMPC_GEP_011_002","Hemorrhage",0.06857214
"50i84uz78t2ar4t","MGI:103556","Cxcl12","C57BL","Early adult","IMPC_CSD_079_001","Aggression",0.5984841
"50i9jo4e0075w4y","MGI:2679719","ARMC7","C57BL","Early adult","JAX_LDT_002_001","Light side time spent",0.2280706
"50i9tt1m9u8g205","MGI:2676312","Abca12","C57BL","Early adult","GMC_916_001_008","Latency familiar object exploration",0.3303281
"50ii8307torx7p1","MGI:2147134","Fbxo11","C3H","Early adult","IMPC_EYE_092_001","Retina (combined)",0.2377656
"50jnc82ql3g5v0d","MGI:1859214","Pmm2","C57BL","Early adult","IMPC_GEL_028_001","Forebrain",0.8070589
"50ke287s6wvv801","MGI:97312","Nfkb1","C57BL","Early adult","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.1837478
"50m154gcf723553","MGI:1918234","4931406C07Rik","C57BL","Early adult","IMPC_DXA_003_001","Lean mass",0.7554204
"50n9w9o6rx7dm31","MGI:3608347","Zfp385c","C57BL","Early adult","ESLIM_016_001_005","Mean cell volume",0.2311635
"50o8nkk0sin8p73","MGI:1931028","Recql4","C57BL","Early adult","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.1435131
"50o9086b780e913","MGI:2138334","Dgkd","C57BL","Early adult","IMPC_CBC_006_001","Total protein",0.4727206
"50p8252u6g452af","MGI:2140300","Myorg","C57BL","Early adult","IMPC_GEO_011_001","Blood Vessel Morphology",0.8719174
"50px95k1hhnpa43","MGI:1859638","Pqbp1","C57BL","E15.5","IMPC_GEP_017_001","Facial Morphology",0.5794375
"50q81040yl21659","MGI:2441671","Hcar1","C57BL","Early adult","JAX_OFD_016_001","Center permanence time",0.219002
"50qbu71qn3f48f4","MGI:2182543","Grhl2","C57BL","E15.5","ESLIM_011_001_010","PP4 + pulse startle magnitude",0.5393564
